Round,F1,Precision,Recall,Drift_Client1,Drift_Client2,Drift_Client3,Drift_Client4,Drift_Client5
1,0.8377538870221252,0.987839919293094,0.7272588616209459,0,0,0,0,0
2,0.8363460438932137,0.9879311785792537,0.7250903942532299,0,0,0,0,0
3,0.8367785419637498,0.9879506108198505,0.7257303242256599,0,0,0,0,0
4,0.8365296279832323,0.9879511543047076,0.7253556502003511,0,0,0,0,0
5,0.8349437980674423,0.9879189461642144,0.7229915565716332,0,0,0,0,0
6,0.836525215599036,0.9879665257605318,0.7253407295533255,0,0,5,0,0
7,0.8364286465453781,0.9879155101976291,0.7252230222267905,0,0,5,0,0
8,0.8379750510458429,0.9883173727830379,0.7273334648560738,0,0,5,0,0
9,0.832379828109929,0.9883602200777657,0.7189215356329919,0,0,5,0,0
10,0.8311956860137522,0.9885695870103333,0.7170465076567787,0,0,5,0,0
11,0.8275800912409287,0.9885189807544407,0.711708231720964,0,0,5,0,0
12,0.8284421139622489,0.9885594096958831,0.7129632239207813,0,0,5,0,0
13,0.8262621213539441,0.9885107365504503,0.709765231908301,0,0,5,0,0
14,0.8237630924164314,0.988449756323973,0.7061163047857146,0,0,5,0,0
15,0.8226788896341918,0.9884264535546324,0.7045363740506738,0,0,5,0,0
16,0.8218749515706604,0.9884074447687896,0.7033675900336709,0,0,5,0,0
17,0.8205920824893412,0.9883770362376728,0.7015058248548138,0,0,5,0,0
18,0.8204793024097005,0.9883789391050802,0.7013400398878631,0,0,5,0,0
19,0.8197342017318806,0.9883612368818223,0.7002607797530136,0,0,5,0,0
20,0.8202699452195099,0.9883739683474627,0.7010366533983431,0,0,5,0,0
