Round,F1,Precision,Recall,FP Rate,FN Rate,Drift_Client1,Drift_Client2,Drift_Client3,Drift_Client4,Drift_Client5
1,0.838390258333572,0.987818178956056,0.7282303615272774,0.0033528446568930432,0.27176963847227203,0,0,0,0,0
2,0.8378393346510451,0.9879368310593385,0.7273351227057433,0.0033157077398885053,0.2726648772938047,0,0,0,0,0
3,0.837123575494152,0.9879634641407307,0.7262425997735378,0.0033033287675536594,0.2737574002260084,0,0,0,0,0
4,0.837407639144286,0.9879726092856145,0.7266653514392621,0.003302709818936917,0.27333464856028467,0,0,0,0,0
5,0.8360852180515986,0.9879513443144629,0.7246875367835396,0.0032996150758532053,0.27531246321600406,0,0,0,0,0
6,0.8372883525726335,0.9879807367125252,0.7264813301259468,0.0032996150758532053,0.2735186698735997,0,0,25,0,0
7,0.836823531998826,0.9884604438742552,0.7255230930169714,0.0031622084829364145,0.27447690698257354,0,0,25,0,0
8,0.8369803168048028,0.9884641177387051,0.725756849820372,0.0031622084829364145,0.27424315017917333,0,0,25,0,0
9,0.8339508368170755,0.9886178713964926,0.7211314492424455,0.0030996946726454424,0.2788685507570921,0,0,25,0,0
10,0.8307176461314554,0.988585378576936,0.7163270009002124,0.0030879346489273386,0.2836729990993173,0,0,25,0,0
11,0.8292929885974596,0.9885747198178931,0.7142165582709291,0.0030817451627599157,0.2857834417285971,0,0,25,0,0
12,0.8264028860970054,0.9885117698383753,0.7099724631169895,0.003080507265526431,0.2900275368825297,0,0,25,0,0
13,0.8256773913253361,0.9884970317903575,0.7089097814788351,0.003079888316909689,0.29109021852068234,0,0,25,0,0
14,0.8255285127486139,0.9884958064613101,0.70869094532246,0.0030792693682929464,0.291309054677057,0,0,25,0,0
15,0.8237707137441785,0.9884522110441977,0.7061262518837317,0.003079888316909689,0.2938737481157811,0,0,25,0,0
16,0.8232033080687388,0.9884433891027711,0.7052973270489779,0.003078650419676204,0.2947026729505336,0,0,25,0,0
17,0.8232568174056563,0.9884446509466837,0.7053752459834447,0.003078650419676204,0.29462475401606686,0,0,25,0,0
18,0.821992926127229,0.9884148031518071,0.7035366906999607,0.003078650419676204,0.2964633092995478,0,0,25,0,0
19,0.8203466037430256,0.9883757887356859,0.7011477293262002,0.003078650419676204,0.2988522706733044,0,0,25,0,0
20,0.8233524389948971,0.9884469054708803,0.7055145053556834,0.003078650419676204,0.29448549464382845,0,0,25,0,0
