Round,F1,Precision,Recall,FP Rate,FN Rate,Drift_Client1,Drift_Client2,Drift_Client3,Drift_Client4,Drift_Client5
1,0.8390861385213176,0.9878661435536501,0.7292549126230332,0.003344179376258651,0.270745087376518,0,0,0,0,0
2,0.8374603599128874,0.9879385841358126,0.7267631645697632,0.0033126129968047936,0.2732368354297839,0,0,0,0,0
3,0.8379926138945857,0.9879868792226593,0.7275390382150927,0.003302709818936917,0.27246096178445556,0,0,0,0,0
4,0.8367442518408638,0.9879564029007555,0.7256756151865661,0.003302709818936917,0.2743243848129791,0,0,0,0,0
5,0.8358983286241997,0.9879379147401621,0.7244139915880707,0.0033020908703201746,0.27558600841147235,0,0,0,0,0
6,0.8359393830414839,0.987947775956593,0.724470358476834,0.0032996150758532053,0.27552964152270915,0,0,12,0,0
7,0.835363968501465,0.9882596997889282,0.7234391759824003,0.003208629629192087,0.2765608240171412,0,0,12,0,0
8,0.8357382238835394,0.9884349753148182,0.7239066895892015,0.0031622084829364145,0.27609331041034085,0,0,12,0,0
9,0.8325074407118513,0.9885665311183647,0.7190027702667977,0.0031046462615793805,0.2809972297327364,0,0,12,0,0
10,0.8309011307987678,0.9886030958959252,0.7165905989976641,0.003084220957226885,0.28340940100186607,0,0,12,0,0
11,0.8297169775013662,0.9885890760521917,0.7148382518969945,0.003080507265526431,0.28516174810253275,0,0,12,0,0
12,0.8293250074109435,0.9885799643425047,0.7142613202120058,0.003080507265526431,0.2857386797875205,0,0,12,0,0
13,0.8268647071588745,0.9885225789490677,0.7106488657821486,0.003080507265526431,0.2893511342173717,0,0,12,0,0
14,0.8280075079299619,0.9885492758458052,0.7123249517980209,0.003080507265526431,0.2876750482015022,0,0,12,0,0
15,0.82684400634642,0.9885243557634209,0.710617366638428,0.003079888316909689,0.28938263336109227,0,0,12,0,0
16,0.827649089123359,0.9885431680350705,0.7117977556031174,0.003079888316909689,0.2882022443964048,0,0,12,0,0
17,0.8278687260770853,0.9885528069097411,0.7121177205893324,0.003078650419676204,0.28788227941019034,0,0,12,0,0
18,0.8260643385422246,0.9885106324002938,0.7094734503664677,0.003078650419676204,0.2905265496330507,0,0,12,0,0
19,0.8246883756884723,0.9884783499996526,0.7074624787173549,0.003078650419676204,0.29253752128216015,0,0,12,0,0
20,0.8248575671296722,0.9884823252087491,0.7077094983181115,0.003078650419676204,0.2922905016814039,0,0,12,0,0
