Round,F1,Precision,Recall,FP Rate,FN Rate,Drift_Client1,Drift_Client2,Drift_Client3,Drift_Client4,Drift_Client5
1,0.8374093930372208,0.987818178540525,0.7267515596220766,0.003346036222108878,0.2732484403774704,0,0,0,0,0
2,0.8374807054544343,0.9879523231103109,0.7267863744651363,0.00330889930510434,0.2732136255344108,0,0,0,0,0
3,0.836437616996216,0.9879466917203235,0.7252197065274515,0.0033033287675536594,0.27478029347209293,0,0,0,0,0
4,0.8376173680334891,0.9879865535918673,0.7269737114777907,0.0033002340244699477,0.27302628852175675,0,0,0,0,0
5,0.8357593011376029,0.9879411531894202,0.7242034446800433,0.0033002340244699477,0.2757965553194995,0,0,0,0,0
6,0.7888703783319002,0.8579552649676888,0.7300821796081175,0.04512754364668115,0.269917820391435,12,12,12,13,13
7,0.8272422432067836,0.9876831818945305,0.7116419177341837,0.003313231945421536,0.28835808226533827,12,12,12,13,13
8,0.8269402224777518,0.9877229418888986,0.7111744041273825,0.0033002340244699477,0.28882559587213863,12,12,12,13,13
9,0.8265880962320707,0.9876938319393562,0.7106687599781827,0.0033058045620206282,0.28933124002133764,12,12,12,13,13
10,0.8029192714903797,0.9200645052137432,0.7122354279158675,0.023102257119906378,0.28776457208365547,12,12,12,13,13
11,0.8184760550661803,0.9938190619183169,0.6957265609069101,0.001615455889697405,0.3042734390925855,12,12,12,13,13
12,0.8197517675886523,0.9946521028518176,0.6971622587207037,0.0013994428224543421,0.3028377412787942,12,12,12,13,13
13,0.8187262519693489,0.9946384636899316,0.6956867725148419,0.0014000617710710843,0.3043132274846536,12,12,12,13,13
14,0.8185411363412399,0.9946411210964361,0.6954182008683817,0.0013988238738375997,0.3045817991311134,12,12,12,13,13
15,0.8188930603390677,0.9946496948098722,0.695922187167912,0.001397585976604115,0.3040778128315839,12,12,12,13,13
16,0.8170635207505808,0.9946342310372631,0.6932911797424033,0.0013963480793706305,0.3067088202570882,12,12,12,13,13
17,0.8171709840611804,0.9946354176574657,0.6934453597616675,0.0013963480793706305,0.30655464023782425,12,12,12,13,13
18,0.8174254772454488,0.9946358714510479,0.6938117445386287,0.0013969670279873729,0.30618825546086365,12,12,12,13,13
19,0.81603795261594,0.9946205292236115,0.6918223249352196,0.0013969670279873729,0.3081776750642696,12,12,12,13,13
20,0.8162671184333108,0.9946230667340074,0.6921505791697821,0.0013969670279873729,0.30784942082970757,12,12,12,13,13
